pr_sum,Unnamed: 0,duration
0.625,720.0,720.0
16.3125,1140.0,1140.0
19.3125,1440.0,1440.0
36.3125,2580.0,2580.0
0.125,360.0,360.0
3.5,660.0,660.0
0.875,780.0,780.0
0.3125,360.0,360.0
2.3125,480.0,480.0
41.0625,1380.0,1380.0
9.9375,420.0,420.0
4.875,1200.0,1200.0
14.125,900.0,900.0
14.3125,480.0,480.0
1.25,420.0,420.0
3.125,420.0,420.0
1.9375,540.0,540.0
0.3125,360.0,360.0
36.6875,2700.0,2700.0
49.1875,3300.0,3300.0
11.1875,1260.0,1260.0
4.875,1020.0,1020.0
32.0,720.0,720.0
2.1875,420.0,420.0
7.0,1740.0,1740.0
24.25,2220.0,2220.0
